training epochs,probe layer index,probe layer name,validation loss,validation accuracy
11,4,conv_layers.4,1.478287584877014,47.49
11,5,conv_layers.5,1.5509651010513306,50.35
11,6,conv_layers.6,1.250915749359131,57.75
11,7,conv_layers.7,1.3913508024215697,53.88
11,8,conv_layers.8,1.2274506801605225,56.83
11,9,conv_layers.9,1.1983745645523072,57.55
11,10,conv_layers.10,1.1452296169281007,59.49
11,11,conv_layers.11,1.0577510875701905,64.69
11,12,conv_layers.12,0.891376012802124,69.13
11,13,fc_layers.0,0.7024522498130799,77.16
11,14,fc_layers.1,0.6570401056289673,78.5
11,15,fc_layers.2,0.6709438137054443,78.4
11,16,fc_layers.3,0.6659508750915527,78.66
11,17,fc_layers.4,0.6926829389572143,78.09
18,0,conv_layers.0,1.9910271209716797,28.51
18,1,conv_layers.1,1.7796393730163573,38.62
18,2,conv_layers.2,1.5807046714782715,44.62
18,3,conv_layers.3,1.6786995002746583,42.28
18,4,conv_layers.4,1.4572233547210693,48.28
18,5,conv_layers.5,1.4865726791381837,52.16
18,6,conv_layers.6,1.1882614728927612,59.89
18,7,conv_layers.7,1.3244478527069092,55.5
18,8,conv_layers.8,1.1791045970916747,58.89
18,9,conv_layers.9,1.1380494506835936,60.37
18,10,conv_layers.10,1.0623464321136475,62.9
18,11,conv_layers.11,0.95421844997406,68.11
18,12,conv_layers.12,0.82729849319458,71.48
18,13,fc_layers.0,0.8183855734825134,78.38
18,14,fc_layers.1,0.7641773128509521,80.58
18,15,fc_layers.2,0.8736891432762146,80.33
18,16,fc_layers.3,0.8501576426506042,80.28
18,17,fc_layers.4,0.9675255359649658,80.05
1,0,conv_layers.0,2.0157707571029664,26.85
1,1,conv_layers.1,1.9042202299118043,31.51
1,2,conv_layers.2,1.776472230529785,36.07
1,3,conv_layers.3,1.8654035526275634,32.65
1,4,conv_layers.4,1.820955302619934,34.5
1,5,conv_layers.5,1.8159972179412842,33.08
1,6,conv_layers.6,1.7659443447113037,35.89
1,7,conv_layers.7,1.8295783443450928,32.87
1,8,conv_layers.8,1.8508713897705078,31.05
1,9,conv_layers.9,1.8701049249649049,30.3
1,10,conv_layers.10,1.8794876159667968,27.82
1,11,conv_layers.11,1.8295422813415527,31.38
1,12,conv_layers.12,1.8041784687042237,32.32
1,13,fc_layers.0,1.6723503147125245,37.84
1,14,fc_layers.1,1.6895395050048827,36.74
1,15,fc_layers.2,1.6965963409423828,36.78
1,16,fc_layers.3,1.7070346263885499,35.46
1,17,fc_layers.4,1.7465152053833009,33.86
2,0,conv_layers.0,2.016036503791809,26.86
2,1,conv_layers.1,1.8731231674194335,32.64
2,2,conv_layers.2,1.728871872138977,37.69
2,3,conv_layers.3,1.8190419202804566,34.34
2,4,conv_layers.4,1.6862508295059204,38.4
2,5,conv_layers.5,1.6742552921295166,38.87
2,6,conv_layers.6,1.5956539348602294,42.22
2,7,conv_layers.7,1.6651311588287354,39.83
2,8,conv_layers.8,1.6294567216873168,40.13
2,9,conv_layers.9,1.616914578819275,40.52
2,10,conv_layers.10,1.6119466020584106,40.27
2,11,conv_layers.11,1.5568062927246094,42.73
2,12,conv_layers.12,1.5050890827178955,45.47
2,13,fc_layers.0,1.350439189529419,51.16
2,14,fc_layers.1,1.3418916439056396,51.45
2,15,fc_layers.2,1.3630110595703124,50.58
2,16,fc_layers.3,1.3639168769836425,49.85
2,17,fc_layers.4,1.394193599319458,48.86
3,0,conv_layers.0,2.01250850315094,27.15
3,1,conv_layers.1,1.8597662240982056,33.91
3,2,conv_layers.2,1.6849000457763672,40.16
3,3,conv_layers.3,1.7867398706436157,37.07
3,4,conv_layers.4,1.5920662023544312,42.67
3,5,conv_layers.5,1.617173942565918,43.05
3,6,conv_layers.6,1.456833166694641,48.44
3,7,conv_layers.7,1.5642561613082886,45.28
3,8,conv_layers.8,1.474873666191101,46.34
3,9,conv_layers.9,1.4599203706741333,46.65
3,10,conv_layers.10,1.4380217796325683,47.79
3,11,conv_layers.11,1.3787523305892944,50.93
3,12,conv_layers.12,1.304642630958557,53.63
3,13,fc_layers.0,1.0908137634277344,61.53
3,14,fc_layers.1,1.0807321395874023,61.74
3,15,fc_layers.2,1.0965258056640625,60.65
3,16,fc_layers.3,1.0977580825805664,60.64
3,17,fc_layers.4,1.125126824760437,59.66
5,0,conv_layers.0,2.0100604677200318,27.39
5,1,conv_layers.1,1.8419885822296143,36.08
5,2,conv_layers.2,1.6340706520080566,43.22
5,3,conv_layers.3,1.7434117910385132,40.13
5,4,conv_layers.4,1.5237734466552735,45.3
5,5,conv_layers.5,1.5676217563629151,48.15
5,6,conv_layers.6,1.3431902099609374,53.05
5,7,conv_layers.7,1.461342837524414,50.56
5,8,conv_layers.8,1.3238245433807374,52.33
5,9,conv_layers.9,1.2995785097122192,52.94
5,10,conv_layers.10,1.2689869514465333,54.04
5,11,conv_layers.11,1.2009466291427613,57.47
5,12,conv_layers.12,1.0924593059539796,61.69
5,13,fc_layers.0,0.8582325342178345,70.65
5,14,fc_layers.1,0.8330276720046997,71.41
5,15,fc_layers.2,0.8460850509643555,70.87
5,16,fc_layers.3,0.8519683771133423,70.51
5,17,fc_layers.4,0.8714531736373902,69.68
6,0,conv_layers.0,2.0092594409942626,27.56
6,1,conv_layers.1,1.8357284437179566,36.44
6,2,conv_layers.2,1.6271216772079469,43.2
6,3,conv_layers.3,1.7341587511062622,40.48
6,4,conv_layers.4,1.513002352333069,45.99
6,5,conv_layers.5,1.5425364006042481,49.28
6,6,conv_layers.6,1.3026981327056886,55.26
6,7,conv_layers.7,1.4301418704986573,51.96
6,8,conv_layers.8,1.2757709600448608,54.77
6,9,conv_layers.9,1.2443266641616821,55.59
6,10,conv_layers.10,1.208462917137146,56.78
6,11,conv_layers.11,1.1472283920288087,60.7
6,12,conv_layers.12,1.0191527294158935,64.22
6,13,fc_layers.0,0.7914139198303223,73.34
6,14,fc_layers.1,0.7575499057769776,73.89
6,15,fc_layers.2,0.7672012742996216,73.71
6,16,fc_layers.3,0.7699418022155762,73.7
6,17,fc_layers.4,0.7890841129302979,73.03
